ID,invoiceNumber_jaro,invoiceNumber_jaro_inv,invoiceNumber_damlev,invoiceNumber_q2,invoiceNumber_q3,invoiceNumber_long2,invoiceNumber_long3,invoiceNumber_sw,suppName_jaro,suppName_damlev,suppName_q2,suppName_q3,suppName_long2,suppName_long3,suppName_long4,same_suppRef,same_baseAmount,same_enteredDate,same_paidDate,same_user,duplicate
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,1,1,0,1,0
1,0.913333333,0.833333333,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
2,0.855555556,0.990666667,0.9,0.941176471,0.933333333,0.947368421,0.947368421,0.947368421,1,1,1,1,1,1,1,1,0,1,0,0,1
3,1,1,1,1,1,1,1,1,0.407407407,0.125,0.05952381,0,0.083333333,0,0,0,0,1,0,0,1
4,0.677777778,0.622222222,0.4,0.333333333,0.25,0.4,0.4,0.4,1,1,1,1,1,1,0.5,1,1,1,0,1,0
5,0,0.551282051,0.153846154,0.133333333,0,0.235294118,0,0.188235294,0.638074074,0.273611111,0.064814815,0,0.121212121,0,0,0,0,1,0,1,0
6,1,1,1,1,1,1,1,1,0.459532828,0.280397727,0.1875,0,0.196428571,0,0,0,0,1,0,1,0
7,0.909333333,0.866666667,0.8,0.75,0.666666667,0.8,0.8,0.8,1,1,1,1,1,1,1,1,0,1,1,1,0
8,1,1,1,1,1,1,1,1,0.516843034,0.240740741,0.083333333,0,0.222222222,0,0,0,0,1,0,1,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,1,0
10,0,0,0,0,0,0,0,0,0.8001443,0.554112554,0.574945887,0.466666667,0.658119658,0.555555556,0,0,0,1,0,0,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
12,1,1,1,1,1,1,1,1,0.631272848,0.359992785,0.259615385,0.225,0.253333333,0.2,0,0,0,1,0,1,1
13,0.848888889,0.777777778,0.666666667,0.6,0.5,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,0.75,1,0,1,1,0,0
14,1,1,1,1,1,1,1,1,0.715308642,0.277777778,0.4375,0.380952381,0.555555556,0.555555556,0.555555556,0,0,1,1,1,0
15,0.902857143,0.464285714,0.571428571,0.666666667,0.571428571,0.727272727,0.727272727,0.727272727,1,1,1,1,1,1,1,1,0,1,0,0,0
16,0.472222222,0.472222222,0,0,0,0,0,0.125,0.34375,0,0,0,0,0,0,0,0,0,0,0,1
17,0.9,0.833333333,0.75,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,0,1,1,1,0
18,0.638888889,0.722222222,0.375,0.166666667,0,0.285714286,0,0.257142857,0.511574074,0.236111111,0,0,0,0,0,0,0,1,0,0,0
19,0.968333333,0.939285714,0.875,0.769230769,0.545454545,0.933333333,0.933333333,0.773333333,1,1,1,1,1,1,1,1,0,1,0,0,1
20,0.913333333,0.833333333,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,0,1,0,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0,1,1,0,1
22,1,1,1,1,1,1,1,1,0.651968254,0.4225,0.403566434,0.311111111,0.304615385,0.184615385,0.184615385,0,0,1,0,1,0
23,0.9,0.846666667,0.75,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,0.666666667,1,0,1,0,1,0
24,0.956666667,0.869047619,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
25,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
26,1,1,1,1,1,1,1,1,0.894444444,0.791666667,0.75,0.75,0.5,0.5,0.5,0,0,1,0,0,1
27,1,1,1,1,1,1,1,1,0.826777778,0.707232143,0.635576923,0.572727273,0.631111111,0.533333333,0.533333333,0,0,1,0,0,1
28,0.831111111,0.694444444,0.666666667,0.4,0.25,0.5,0.5,0.5,1,1,1,1,1,1,0.571428571,1,1,1,1,1,0
29,1,1,1,1,1,1,1,1,0.619356261,0.310185185,0.134920635,0.064102564,0.200980392,0.117647059,0,0,0,1,0,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,0,1,0,0,0
31,0.99829932,0.976190476,0.928571429,0.96,0.956521739,0.962962963,0.962962963,0.962962963,1,1,1,1,1,1,0.5,1,0,1,0,1,1
32,0.913333333,0.833333333,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
33,0.986666667,0.962962963,0.888888889,0.933333333,0.923076923,0.941176471,0.941176471,0.941176471,1,1,1,1,1,1,1,1,0,1,0,0,1
34,0.963333333,0.821428571,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
35,0.92984127,0.96,0.857142857,0.727272727,0.444444444,0.923076923,0.615384615,0.738461538,1,1,1,1,0.75,0.5,0.5,1,0,1,0,1,1
36,1,1,1,1,1,1,1,1,0.60787037,0.333333333,0.3125,0.277777778,0.266666667,0.266666667,0.266666667,0,0,1,0,0,1
37,1,1,1,1,1,1,1,1,0.571869489,0.248346561,0.074074074,0,0.121212121,0,0,0,0,1,0,1,0
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
39,0.976,0.938666667,0.9,0.777777778,0.75,0.8,0.8,0.8,1,1,1,1,1,0.75,0.5,1,0,1,1,1,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
42,0.952,0.866666667,0.8,0.777777778,0.75,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0
43,0.666666667,0.666666667,0.5,0.4,0.25,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0,1,0,1,0
44,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
45,0.805714286,0.714285714,0.571428571,0.5,0.4,0.571428571,0.571428571,0.571428571,0.594444444,0.416666667,0.4,0.333333333,0.444444444,0.333333333,0.333333333,0,0,1,0,1,0
46,1,1,1,1,1,1,1,1,0.692430556,0.548125,0.478571429,0.466666667,0.5,0.5,0.5,0,0,1,0,0,1
